interactor,date,topic,doc_nb,word_nb,char_nb,doc_ids
citizensclimate,2016-04-11,T1, 0.224489796,  2.02040816,  13.6938776,
citizensclimate,2016-04-11,T2, 0.224489796,  2.02040816,  13.6938776,
citizensclimate,2016-04-11,T3, 9.204081633, 82.83673469, 561.4489796,719635824636076032
citizensclimate,2016-04-11,T4, 0.224489796,  2.02040816,  13.6938776,
citizensclimate,2016-04-11,T5, 0.224489796,  2.02040816,  13.6938776,
citizensclimate,2016-04-11,T6, 0.224489796,  2.02040816,  13.6938776,
citizensclimate,2016-04-11,T7, 0.224489796,  2.02040816,  13.6938776,
citizensclimate,2016-04-11,T8, 0.224489796,  2.02040816,  13.6938776,
citizensclimate,2016-04-11,T9, 0.224489796,  2.02040816,  13.6938776,
citizensclimate,2016-04-12,T1, 0.061224490,  0.55102041,   3.7346939,
citizensclimate,2016-04-12,T2, 0.061224490,  0.55102041,   3.7346939,
citizensclimate,2016-04-12,T3, 2.510204082, 22.59183673, 153.1224490,
citizensclimate,2016-04-12,T4, 0.061224490,  0.55102041,   3.7346939,
citizensclimate,2016-04-12,T5, 0.061224490,  0.55102041,   3.7346939,
citizensclimate,2016-04-12,T6, 0.061224490,  0.55102041,   3.7346939,
citizensclimate,2016-04-12,T7, 0.061224490,  0.55102041,   3.7346939,
citizensclimate,2016-04-12,T8, 0.061224490,  0.55102041,   3.7346939,
citizensclimate,2016-04-12,T9, 0.061224490,  0.55102041,   3.7346939,
citizensclimate,2016-04-13,T1, 0.020408163,  0.18367347,   1.2448980,
citizensclimate,2016-04-13,T2, 0.020408163,  0.18367347,   1.2448980,
citizensclimate,2016-04-13,T3, 0.836734694,  7.53061224,  51.0408163,
citizensclimate,2016-04-13,T4, 0.020408163,  0.18367347,   1.2448980,
citizensclimate,2016-04-13,T5, 0.020408163,  0.18367347,   1.2448980,
citizensclimate,2016-04-13,T6, 0.020408163,  0.18367347,   1.2448980,
citizensclimate,2016-04-13,T7, 0.020408163,  0.18367347,   1.2448980,
citizensclimate,2016-04-13,T8, 0.020408163,  0.18367347,   1.2448980,
citizensclimate,2016-04-13,T9, 0.020408163,  0.18367347,   1.2448980,
ClimateReality,2018-04-01,T1, 0.285714286,  5.14285714,  29.4285714,
ClimateReality,2018-04-01,T2, 0.285714286,  5.14285714,  29.4285714,
ClimateReality,2018-04-01,T3, 0.285714286,  5.14285714,  29.4285714,
ClimateReality,2018-04-01,T4, 0.285714286,  5.14285714,  29.4285714,
ClimateReality,2018-04-01,T5, 0.285714286,  5.14285714,  29.4285714,
ClimateReality,2018-04-01,T6, 0.285714286,  5.14285714,  29.4285714,
ClimateReality,2018-04-01,T7, 0.285714286,  5.14285714,  29.4285714,
ClimateReality,2018-04-01,T8, 0.285714286,  5.14285714,  29.4285714,
ClimateReality,2018-04-01,T9,11.714285714,210.85714286,1206.5714286,980545307426553856
ClimateReality,2018-04-02,T1, 0.081632653,  1.46938776,   8.4081633,
ClimateReality,2018-04-02,T2, 0.081632653,  1.46938776,   8.4081633,
ClimateReality,2018-04-02,T3, 0.081632653,  1.46938776,   8.4081633,
ClimateReality,2018-04-02,T4, 0.081632653,  1.46938776,   8.4081633,
ClimateReality,2018-04-02,T5, 0.081632653,  1.46938776,   8.4081633,
ClimateReality,2018-04-02,T6, 0.081632653,  1.46938776,   8.4081633,
ClimateReality,2018-04-02,T7, 0.081632653,  1.46938776,   8.4081633,
ClimateReality,2018-04-02,T8, 0.081632653,  1.46938776,   8.4081633,
ClimateReality,2018-04-02,T9, 3.346938776, 60.24489796, 344.7346939,
ECOWARRIORSS,2018-10-14,T1, 0.196172249,  8.23923445,  49.8277512,
ECOWARRIORSS,2018-10-14,T2, 0.004784689,  0.20095694,   1.2153110,
ECOWARRIORSS,2018-10-14,T3, 0.004784689,  0.20095694,   1.2153110,
ECOWARRIORSS,2018-10-14,T4, 0.052631579,  2.21052632,  13.3684211,
ECOWARRIORSS,2018-10-14,T5, 0.004784689,  0.20095694,   1.2153110,
ECOWARRIORSS,2018-10-14,T6, 0.387559809, 16.27751196,  98.4401914,
ECOWARRIORSS,2018-10-14,T7, 0.004784689,  0.20095694,   1.2153110,
ECOWARRIORSS,2018-10-14,T8, 0.339712919, 14.26794258,  86.2870813,
ECOWARRIORSS,2018-10-14,T9, 0.004784689,  0.20095694,   1.2153110,
MollyJongFast,2017-05-31,T1, 0.060606061,  0.96969697,   6.7272727,
MollyJongFast,2017-05-31,T2, 2.484848485, 39.75757576, 275.8181818,
MollyJongFast,2017-05-31,T3, 0.060606061,  0.96969697,   6.7272727,
MollyJongFast,2017-05-31,T4, 0.060606061,  0.96969697,   6.7272727,
MollyJongFast,2017-05-31,T5, 0.060606061,  0.96969697,   6.7272727,
MollyJongFast,2017-05-31,T6, 0.666666667, 10.66666667,  74.0000000,
MollyJongFast,2017-05-31,T7, 0.060606061,  0.96969697,   6.7272727,
MollyJongFast,2017-05-31,T8, 2.484848485, 39.75757576, 275.8181818,
MollyJongFast,2017-05-31,T9, 0.060606061,  0.96969697,   6.7272727,
OTHER_USERS,2016-01-27,T1, 0.794871795, 14.30769231,  92.2051282,
OTHER_USERS,2016-01-27,T2, 0.025641026,  0.46153846,   2.9743590,
OTHER_USERS,2016-01-27,T3, 0.025641026,  0.46153846,   2.9743590,
OTHER_USERS,2016-01-27,T4, 0.025641026,  0.46153846,   2.9743590,
OTHER_USERS,2016-01-27,T5, 0.025641026,  0.46153846,   2.9743590,
OTHER_USERS,2016-01-27,T6, 0.025641026,  0.46153846,   2.9743590,
OTHER_USERS,2016-01-27,T7, 0.025641026,  0.46153846,   2.9743590,
OTHER_USERS,2016-01-27,T8, 0.025641026,  0.46153846,   2.9743590,
OTHER_USERS,2016-01-27,T9, 0.025641026,  0.46153846,   2.9743590,
OTHER_USERS,2016-04-25,T1, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-25,T2, 0.645569620,  7.74683544,  54.8734177,
OTHER_USERS,2016-04-25,T3, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-25,T4, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-25,T5, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-25,T6, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-25,T7, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-25,T8, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-25,T9, 0.265822785,  3.18987342,  22.5949367,
OTHER_USERS,2016-04-26,T1, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-26,T2, 0.645569620,  7.74683544,  54.8734177,
OTHER_USERS,2016-04-26,T3, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-26,T4, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-26,T5, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-26,T6, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-26,T7, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-26,T8, 0.012658228,  0.15189873,   1.0759494,
OTHER_USERS,2016-04-26,T9, 0.265822785,  3.18987342,  22.5949367,
OTHER_USERS,2016-06-16,T1, 0.009174312,  0.19266055,   1.3027523,
OTHER_USERS,2016-06-16,T2, 0.009174312,  0.19266055,   1.3027523,
OTHER_USERS,2016-06-16,T3, 0.559633028, 11.75229358,  79.4678899,
OTHER_USERS,2016-06-16,T4, 0.009174312,  0.19266055,   1.3027523,
OTHER_USERS,2016-06-16,T5, 0.009174312,  0.19266055,   1.3027523,
OTHER_USERS,2016-06-16,T6, 0.009174312,  0.19266055,   1.3027523,
OTHER_USERS,2016-06-16,T7, 0.009174312,  0.19266055,   1.3027523,
OTHER_USERS,2016-06-16,T8, 0.009174312,  0.19266055,   1.3027523,
OTHER_USERS,2016-06-16,T9, 0.376146789,  7.89908257,  53.4128440,
OTHER_USERS,2016-07-04,T1, 0.025641026,  0.17948718,   1.1794872,
OTHER_USERS,2016-07-04,T2, 0.025641026,  0.17948718,   1.1794872,
OTHER_USERS,2016-07-04,T3, 0.025641026,  0.17948718,   1.1794872,
OTHER_USERS,2016-07-04,T4, 0.025641026,  0.17948718,   1.1794872,
OTHER_USERS,2016-07-04,T5, 0.025641026,  0.17948718,   1.1794872,
OTHER_USERS,2016-07-04,T6, 0.025641026,  0.17948718,   1.1794872,
OTHER_USERS,2016-07-04,T7, 0.282051282,  1.97435897,  12.9743590,
OTHER_USERS,2016-07-04,T8, 0.025641026,  0.17948718,   1.1794872,
OTHER_USERS,2016-07-04,T9, 0.538461538,  3.76923077,  24.7692308,
OTHER_USERS,2016-07-19,T1, 0.010101010,  0.18181818,   1.1414141,
OTHER_USERS,2016-07-19,T2, 0.010101010,  0.18181818,   1.1414141,
OTHER_USERS,2016-07-19,T3, 0.010101010,  0.18181818,   1.1414141,
OTHER_USERS,2016-07-19,T4, 0.111111111,  2.00000000,  12.5555556,
OTHER_USERS,2016-07-19,T5, 0.313131313,  5.63636364,  35.3838384,
OTHER_USERS,2016-07-19,T6, 0.010101010,  0.18181818,   1.1414141,
OTHER_USERS,2016-07-19,T7, 0.010101010,  0.18181818,   1.1414141,
OTHER_USERS,2016-07-19,T8, 0.515151515,  9.27272727,  58.2121212,
OTHER_USERS,2016-07-19,T9, 0.010101010,  0.18181818,   1.1414141,
OTHER_USERS,2016-12-07,T1, 0.064220183,  1.09174312,   8.9908257,
OTHER_USERS,2016-12-07,T2, 0.064220183,  1.09174312,   8.9908257,
OTHER_USERS,2016-12-07,T3, 1.990825688, 33.84403670, 278.7155963,
OTHER_USERS,2016-12-07,T4, 0.706422018, 12.00917431,  98.8990826,
OTHER_USERS,2016-12-07,T5, 1.348623853, 22.92660550, 188.8073394,
OTHER_USERS,2016-12-07,T6, 2.633027523, 44.76146789, 368.6238532,
OTHER_USERS,2016-12-07,T7, 0.064220183,  1.09174312,   8.9908257,
OTHER_USERS,2016-12-07,T8, 0.064220183,  1.09174312,   8.9908257,
OTHER_USERS,2016-12-07,T9, 0.064220183,  1.09174312,   8.9908257,
OTHER_USERS,2017-02-19,T1, 0.061224490,  0.30612245,   3.3061224,
OTHER_USERS,2017-02-19,T2, 0.061224490,  0.30612245,   3.3061224,
OTHER_USERS,2017-02-19,T3, 0.061224490,  0.30612245,   3.3061224,
OTHER_USERS,2017-02-19,T4, 1.897959184,  9.48979592, 102.4897959,
OTHER_USERS,2017-02-19,T5, 0.061224490,  0.30612245,   3.3061224,
OTHER_USERS,2017-02-19,T6, 0.673469388,  3.36734694,  36.3673469,
OTHER_USERS,2017-02-19,T7, 0.061224490,  0.30612245,   3.3061224,
OTHER_USERS,2017-02-19,T8, 0.061224490,  0.30612245,   3.3061224,
OTHER_USERS,2017-02-19,T9, 0.061224490,  0.30612245,   3.3061224,
OTHER_USERS,2017-04-26,T1, 0.016949153,  0.25423729,   1.5084746,
OTHER_USERS,2017-04-26,T2, 0.016949153,  0.25423729,   1.5084746,
OTHER_USERS,2017-04-26,T3, 0.355932203,  5.33898305,  31.6779661,
OTHER_USERS,2017-04-26,T4, 0.016949153,  0.25423729,   1.5084746,
OTHER_USERS,2017-04-26,T5, 0.016949153,  0.25423729,   1.5084746,
OTHER_USERS,2017-04-26,T6, 0.016949153,  0.25423729,   1.5084746,
OTHER_USERS,2017-04-26,T7, 0.016949153,  0.25423729,   1.5084746,
OTHER_USERS,2017-04-26,T8, 0.016949153,  0.25423729,   1.5084746,
OTHER_USERS,2017-04-26,T9, 0.525423729,  7.88135593,  46.7627119,
OTHER_USERS,2017-05-16,T1, 0.009174312,  0.18348624,   1.3027523,
OTHER_USERS,2017-05-16,T2, 0.009174312,  0.18348624,   1.3027523,
OTHER_USERS,2017-05-16,T3, 0.009174312,  0.18348624,   1.3027523,
OTHER_USERS,2017-05-16,T4, 0.009174312,  0.18348624,   1.3027523,
OTHER_USERS,2017-05-16,T5, 0.009174312,  0.18348624,   1.3027523,
OTHER_USERS,2017-05-16,T6, 0.009174312,  0.18348624,   1.3027523,
OTHER_USERS,2017-05-16,T7, 0.009174312,  0.18348624,   1.3027523,
OTHER_USERS,2017-05-16,T8, 0.926605505, 18.53211009, 131.5779817,
OTHER_USERS,2017-05-16,T9, 0.009174312,  0.18348624,   1.3027523,
OTHER_USERS,2017-05-20,T1, 0.022471910,  0.40449438,   2.5842697,
OTHER_USERS,2017-05-20,T2, 0.022471910,  0.40449438,   2.5842697,
OTHER_USERS,2017-05-20,T3, 0.022471910,  0.40449438,   2.5842697,
OTHER_USERS,2017-05-20,T4, 0.022471910,  0.40449438,   2.5842697,
OTHER_USERS,2017-05-20,T5, 0.022471910,  0.40449438,   2.5842697,
OTHER_USERS,2017-05-20,T6, 1.820224719, 32.76404494, 209.3258427,
OTHER_USERS,2017-05-20,T7, 0.022471910,  0.40449438,   2.5842697,
OTHER_USERS,2017-05-20,T8, 0.022471910,  0.40449438,   2.5842697,
OTHER_USERS,2017-05-20,T9, 0.022471910,  0.40449438,   2.5842697,
OTHER_USERS,2017-06-16,T1, 0.392405063,  5.49367089,  27.8607595,
OTHER_USERS,2017-06-16,T2, 0.265822785,  3.72151899,  18.8734177,
OTHER_USERS,2017-06-16,T3, 0.012658228,  0.17721519,   0.8987342,
OTHER_USERS,2017-06-16,T4, 0.012658228,  0.17721519,   0.8987342,
OTHER_USERS,2017-06-16,T5, 0.012658228,  0.17721519,   0.8987342,
OTHER_USERS,2017-06-16,T6, 0.012658228,  0.17721519,   0.8987342,
OTHER_USERS,2017-06-16,T7, 0.265822785,  3.72151899,  18.8734177,
OTHER_USERS,2017-06-16,T8, 0.012658228,  0.17721519,   0.8987342,
OTHER_USERS,2017-06-16,T9, 0.012658228,  0.17721519,   0.8987342,
OTHER_USERS,2017-07-04,T1, 0.025641026,  0.12820513,   1.1282051,
OTHER_USERS,2017-07-04,T2, 0.025641026,  0.12820513,   1.1282051,
OTHER_USERS,2017-07-04,T3, 0.025641026,  0.12820513,   1.1282051,
OTHER_USERS,2017-07-04,T4, 0.282051282,  1.41025641,  12.4102564,
OTHER_USERS,2017-07-04,T5, 0.025641026,  0.12820513,   1.1282051,
OTHER_USERS,2017-07-04,T6, 0.025641026,  0.12820513,   1.1282051,
OTHER_USERS,2017-07-04,T7, 0.025641026,  0.12820513,   1.1282051,
OTHER_USERS,2017-07-04,T8, 0.538461538,  2.69230769,  23.6923077,
OTHER_USERS,2017-07-04,T9, 0.025641026,  0.12820513,   1.1282051,
OTHER_USERS,2017-09-13,T1, 0.009174312,  0.21100917,   1.2568807,
OTHER_USERS,2017-09-13,T2, 0.009174312,  0.21100917,   1.2568807,
OTHER_USERS,2017-09-13,T3, 0.009174312,  0.21100917,   1.2568807,
OTHER_USERS,2017-09-13,T4, 0.009174312,  0.21100917,   1.2568807,
OTHER_USERS,2017-09-13,T5, 0.009174312,  0.21100917,   1.2568807,
OTHER_USERS,2017-09-13,T6, 0.009174312,  0.21100917,   1.2568807,
OTHER_USERS,2017-09-13,T7, 0.009174312,  0.21100917,   1.2568807,
OTHER_USERS,2017-09-13,T8, 0.926605505, 21.31192661, 126.9449541,
OTHER_USERS,2017-09-13,T9, 0.009174312,  0.21100917,   1.2568807,
OTHER_USERS,2017-10-17,T1, 0.012658228,  0.20253165,   1.2405063,
OTHER_USERS,2017-10-17,T2, 0.265822785,  4.25316456,  26.0506329,
OTHER_USERS,2017-10-17,T3, 0.139240506,  2.22784810,  13.6455696,
OTHER_USERS,2017-10-17,T4, 0.012658228,  0.20253165,   1.2405063,
OTHER_USERS,2017-10-17,T5, 0.012658228,  0.20253165,   1.2405063,
OTHER_USERS,2017-10-17,T6, 0.012658228,  0.20253165,   1.2405063,
OTHER_USERS,2017-10-17,T7, 0.518987342,  8.30379747,  50.8607595,
OTHER_USERS,2017-10-17,T8, 0.012658228,  0.20253165,   1.2405063,
OTHER_USERS,2017-10-17,T9, 0.012658228,  0.20253165,   1.2405063,
OTHER_USERS,2018-01-20,T1, 0.020408163,  0.30612245,   1.8979592,
OTHER_USERS,2018-01-20,T2, 0.020408163,  0.30612245,   1.8979592,
OTHER_USERS,2018-01-20,T3, 0.632653061,  9.48979592,  58.8367347,
OTHER_USERS,2018-01-20,T4, 0.020408163,  0.30612245,   1.8979592,
OTHER_USERS,2018-01-20,T5, 0.020408163,  0.30612245,   1.8979592,
OTHER_USERS,2018-01-20,T6, 0.020408163,  0.30612245,   1.8979592,
OTHER_USERS,2018-01-20,T7, 0.020408163,  0.30612245,   1.8979592,
OTHER_USERS,2018-01-20,T8, 0.020408163,  0.30612245,   1.8979592,
OTHER_USERS,2018-01-20,T9, 0.224489796,  3.36734694,  20.8775510,
OTHER_USERS,2018-03-26,T1, 0.050505051,  0.80808081,   5.8080808,
OTHER_USERS,2018-03-26,T2, 3.585858586, 57.37373737, 412.3737374,
OTHER_USERS,2018-03-26,T3, 0.050505051,  0.80808081,   5.8080808,
OTHER_USERS,2018-03-26,T4, 0.050505051,  0.80808081,   5.8080808,
OTHER_USERS,2018-03-26,T5, 0.050505051,  0.80808081,   5.8080808,
OTHER_USERS,2018-03-26,T6, 0.050505051,  0.80808081,   5.8080808,
OTHER_USERS,2018-03-26,T7, 0.555555556,  8.88888889,  63.8888889,
OTHER_USERS,2018-03-26,T8, 0.050505051,  0.80808081,   5.8080808,
OTHER_USERS,2018-03-26,T9, 0.555555556,  8.88888889,  63.8888889,
OTHER_USERS,2018-03-27,T1, 0.010101010,  0.16161616,   1.1616162,
OTHER_USERS,2018-03-27,T2, 0.717171717, 11.47474747,  82.4747475,
OTHER_USERS,2018-03-27,T3, 0.010101010,  0.16161616,   1.1616162,
OTHER_USERS,2018-03-27,T4, 0.010101010,  0.16161616,   1.1616162,
OTHER_USERS,2018-03-27,T5, 0.010101010,  0.16161616,   1.1616162,
OTHER_USERS,2018-03-27,T6, 0.010101010,  0.16161616,   1.1616162,
OTHER_USERS,2018-03-27,T7, 0.111111111,  1.77777778,  12.7777778,
OTHER_USERS,2018-03-27,T8, 0.010101010,  0.16161616,   1.1616162,
OTHER_USERS,2018-03-27,T9, 0.111111111,  1.77777778,  12.7777778,
OTHER_USERS,2018-07-31,T1, 0.020408163,  0.18367347,   1.3061224,
OTHER_USERS,2018-07-31,T2, 0.836734694,  7.53061224,  53.5510204,
OTHER_USERS,2018-07-31,T3, 0.020408163,  0.18367347,   1.3061224,
OTHER_USERS,2018-07-31,T4, 0.020408163,  0.18367347,   1.3061224,
OTHER_USERS,2018-07-31,T5, 0.020408163,  0.18367347,   1.3061224,
OTHER_USERS,2018-07-31,T6, 0.020408163,  0.18367347,   1.3061224,
OTHER_USERS,2018-07-31,T7, 0.020408163,  0.18367347,   1.3061224,
OTHER_USERS,2018-07-31,T8, 0.020408163,  0.18367347,   1.3061224,
OTHER_USERS,2018-07-31,T9, 0.020408163,  0.18367347,   1.3061224,
OTHER_USERS,2018-10-16,T1, 0.013422819,  0.42953020,   2.5906040,
OTHER_USERS,2018-10-16,T2, 0.416107383, 13.31543624,  80.3087248,
OTHER_USERS,2018-10-16,T3, 0.013422819,  0.42953020,   2.5906040,
OTHER_USERS,2018-10-16,T4, 0.013422819,  0.42953020,   2.5906040,
OTHER_USERS,2018-10-16,T5, 0.013422819,  0.42953020,   2.5906040,
OTHER_USERS,2018-10-16,T6, 0.416107383, 13.31543624,  80.3087248,
OTHER_USERS,2018-10-16,T7, 0.013422819,  0.42953020,   2.5906040,
OTHER_USERS,2018-10-16,T8, 0.013422819,  0.42953020,   2.5906040,
OTHER_USERS,2018-10-16,T9, 1.087248322, 34.79194631, 209.8389262,
OTHER_USERS,2018-10-21,T1, 0.012578616,  0.30188679,   2.0125786,
OTHER_USERS,2018-10-21,T2, 0.012578616,  0.30188679,   2.0125786,
OTHER_USERS,2018-10-21,T3, 0.012578616,  0.30188679,   2.0125786,
OTHER_USERS,2018-10-21,T4, 0.012578616,  0.30188679,   2.0125786,
OTHER_USERS,2018-10-21,T5, 0.012578616,  0.30188679,   2.0125786,
OTHER_USERS,2018-10-21,T6, 0.012578616,  0.30188679,   2.0125786,
OTHER_USERS,2018-10-21,T7, 0.264150943,  6.33962264,  42.2641509,
OTHER_USERS,2018-10-21,T8, 0.012578616,  0.30188679,   2.0125786,
OTHER_USERS,2018-10-21,T9, 1.647798742, 39.54716981, 263.6477987,
OTHER_USERS,2018-10-25,T1, 0.017751479,  0.44378698,   3.1242604,
OTHER_USERS,2018-10-25,T2, 0.017751479,  0.44378698,   3.1242604,
OTHER_USERS,2018-10-25,T3, 1.615384615, 40.38461538, 284.3076923,
OTHER_USERS,2018-10-25,T4, 0.017751479,  0.44378698,   3.1242604,
OTHER_USERS,2018-10-25,T5, 0.195266272,  4.88165680,  34.3668639,
OTHER_USERS,2018-10-25,T6, 0.017751479,  0.44378698,   3.1242604,
